,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
TCGA-50-5942-01A,0.60106134,-11.988123,5.3115993,-5.198326,-5.724198,-2.4602828,-0.90789753,-16.882574,1.3609066,9.765647,-6.5927405,-1.3759456,-0.6095526,-2.2240608,-1.9327087,2.5639236,1.1845671,-5.701509,1.2827641,0.5980577,-11.517575,12.393098,8.719672,2.2081518,8.509101,7.7755203,3.690148,6.3740444,0.37533408,13.847052,8.36396,0.4779716,2.5698214,-1.2851675,-0.803503,6.077253,7.848844,2.4343307,5.7046924,3.0309339,-6.5269113,-2.494251,1.2943101,-2.1073735,-0.74568164,16.88002,12.097319,-1.1623536,-6.151297,-12.872899,15.164596,5.3981586,6.286075,15.838274,15.854653,9.12616,7.5242124,-12.8751745,-6.1946096,-2.0354376,-8.049573,5.961538,-0.053529147,-7.9026055,-2.754576,-1.060376,2.1876132,0.4869463,-4.116076,6.8403463,-18.934801,-0.98855585,-0.20264001,1.6846507,-16.961117,10.068661,-2.875212,4.003574,-6.005766,5.601621,2.4429004,-5.8373957,-9.232044,1.990411,-12.004808,1.3019537,14.533778,-10.195215,-13.526564,10.860738,4.2893987,1.5732322,6.311615,-9.847497,3.9747787,-1.2188364,-6.490203,6.581506,13.201414,-6.6695476
TCGA-86-8671-01A,-11.934914,-1.6383324,-14.522118,-10.278536,-0.5517751,-10.124826,7.1463785,-8.828095,10.538425,12.384283,4.6042194,-4.456331,7.7833347,0.49869445,-11.547083,2.3660681,3.142364,12.243885,-1.6115134,4.9578533,6.8848877,-0.97789896,-0.9638528,-2.9402037,-12.435888,-8.384259,-0.97387666,-2.1404507,2.5179765,5.726113,-1.3184788,0.93032736,-2.522895,-5.2756596,0.81538874,-12.010419,8.813446,-6.9750695,-6.6836667,-5.717908,1.529048,-19.520203,-1.2989515,1.7335063,2.6721203,1.6407832,0.14853466,2.103163,5.7775984,-0.5874399,2.2437115,-3.1568835,10.653831,4.9657063,-15.554398,11.629209,9.241441,-1.1708877,4.8097796,4.6751375,-3.7797542,3.0337224,-2.946999,-0.29528913,-0.4927078,-2.9701777,6.165329,5.414807,-5.315004,-2.9719148,-0.9958514,9.609556,-12.006525,-2.2111537,-1.7367586,13.408371,12.470921,0.3209712,-1.4166642,9.721309,0.9054398,-3.4670968,-9.211452,-8.307989,-4.073514,-16.932531,-7.2382474,4.77691,-8.458884,-6.357662,-5.1707234,-2.9135346,12.1659975,-0.8936407,-1.7018389,-4.68889,-3.0330803,-4.1187983,4.4121675,-7.3445506
TCGA-55-8506-01A,-9.128509,-11.108667,-4.307177,-11.9070215,-6.7349524,-5.5075655,3.5143328,1.1756401,-2.7269404,4.03128,-7.873601,13.507538,-6.5123796,5.4387064,-11.651566,-8.369895,5.788987,-6.9839134,-5.178015,-5.2796354,-2.59561,-4.2294188,3.1492927,0.48986024,-19.609978,-8.773564,14.717181,1.2046697,27.217968,6.196001,6.1947165,10.649094,-5.5302563,-7.658084,6.0218873,-3.4403877,9.791499,-8.027014,-10.070403,-3.70623,-5.2845383,-10.832738,-6.67173,10.732191,-6.6778955,-1.7858462,-2.848122,4.2131634,15.698571,-9.721943,-6.1812735,-6.6975994,-2.7036505,-1.1093704,-8.742224,16.575094,-6.0676894,5.628062,21.010485,6.750444,5.1800504,-2.9280326,-20.79831,-14.044823,-5.2265897,-12.643937,-6.3433795,4.167809,-5.5991945,-0.16799118,2.4789593,-6.741322,-9.233614,8.946072,2.3904777,-4.8833,-9.584497,14.300402,-2.8236575,-12.181833,-2.3322625,10.419369,-9.040757,-7.222032,-3.2299054,6.209991,-0.8717682,20.187893,-5.627008,8.316437,-3.5253472,-7.0787854,-3.0475278,9.548867,-9.083389,1.5084505,9.640808,-11.503658,1.5333896,-1.8193665
TCGA-86-7955-01A,1.0884101,-1.2424129,2.3687675,13.91393,6.8330674,20.343517,0.24375984,6.035961,7.9024243,-5.7154236,6.3454924,7.634048,6.361902,14.163768,8.69429,4.811079,-10.719319,9.919077,-8.530817,0.06821135,1.288233,-14.193027,2.8139825,-13.371001,2.6040802,7.106801,-8.656459,-0.9750995,14.395585,3.76423,-2.0838041,5.303749,-3.1274283,-20.707561,0.36417034,-0.70872205,-9.410884,8.984152,-3.5820785,3.476223,1.39364,7.8823214,0.5618768,-0.6124888,-4.7035127,-6.976694,-2.2091784,-8.407986,-4.3743653,3.2777326,1.1576273,-8.984112,12.005514,4.013439,-3.590718,-9.719246,-11.119707,6.9665422,-10.190729,-15.608373,8.149094,-4.1831546,5.6673245,7.6710086,-9.549923,-3.1414135,-2.703589,-4.5800705,16.503246,-16.110964,0.40544355,-11.205973,16.080463,7.740711,7.284351,-19.828297,6.1483717,-11.772758,-10.702095,4.286116,-3.0113673,-7.244896,-5.117734,5.4269576,10.082151,3.8499358,-1.2849716,6.8089647,-0.24079952,-6.8447857,-9.733667,-6.7057786,-17.275387,-10.305377,9.971215,14.137612,1.1402848,-1.2374072,-9.518586,-0.013880344
TCGA-55-7907-01A,1.1159626,0.22204316,3.313741,13.942353,16.197006,8.863943,-2.9871557,6.6055946,4.8119464,-9.420628,2.2304926,6.2665534,12.84155,14.932181,0.28629032,-0.95106316,3.7869892,5.1261754,-1.7423465,5.8703365,-12.875977,-13.970949,8.130685,-11.227336,1.9204527,7.510824,-3.8490503,-4.3426223,-5.0352287,6.1575303,-14.594825,0.23412193,8.758218,-5.399555,-9.808206,6.519731,-15.855027,17.396883,9.308493,-1.1097881,-2.0628705,7.262992,0.48520055,-5.8045855,-3.4195142,-2.444854,9.177065,-0.34603664,-13.575464,7.5012136,-4.3983555,6.583271,13.288883,5.8052816,1.4886049,3.0127988,-4.2196646,11.746631,-2.9931915,-2.6555307,-12.181396,-6.526462,6.8107023,-2.6601758,2.9326024,3.659063,-2.3516154,3.0980456,3.672077,-9.032003,1.388974,-21.294783,-2.627161,-1.4656061,-9.152923,-6.82213,-9.195452,10.101196,-6.8159857,8.610665,-3.2198863,-12.914779,-9.629659,6.307775,4.0778546,-2.9789019,11.4560995,-3.735915,-2.5220792,-6.2370124,-4.332023,-6.3856,-4.5754433,-12.37399,5.3244953,6.5102034,4.9285564,-14.260409,-12.6416645,-4.5281496
TCGA-93-7348-01A,2.6635046,-5.2756453,-4.8619123,-9.448006,-8.877336,-13.639877,10.851517,-11.650191,8.766462,1.6515757,-10.013943,-15.536996,2.1362429,-13.696403,1.330307,-2.3165293,-0.5430319,-17.03873,5.8128753,7.3335423,-1.9047211,7.621736,5.5790277,-3.8980613,3.1120734,8.465808,10.673667,3.7709692,-4.8530498,5.1654696,16.511854,2.3060853,-0.46707767,-7.8337855,6.0343337,5.1572547,4.360403,-6.9435935,4.440767,2.556688,3.3585474,-4.484707,-5.916172,18.595753,11.5118,11.021282,-7.4277263,5.4896116,7.281342,-0.67794085,16.4937,11.272523,-8.199882,-1.3814068,5.9300756,13.036671,12.823968,-1.2581215,-5.276532,-1.2825352,-3.4458404,5.6805077,-16.93122,-3.2162488,8.703559,-2.9800718,12.390071,1.3060471,-8.270571,2.4240375,-9.482504,-3.1091976,-2.4383514,-3.5754175,-25.563515,9.996411,8.72154,1.9531575,4.510425,-0.032759078,6.5499287,-2.9499593,-4.706928,-8.602408,-9.964002,3.9808793,0.47907463,5.58002,-8.180178,8.707212,3.1531239,-1.4483663,1.4890367,4.831894,4.470341,2.4977572,-6.4428105,-0.61058813,6.090205,-3.6628401
TCGA-55-6985-01A,-2.0849485,0.056784187,-5.06492,-2.0421813,-2.9087372,-6.1874056,12.486677,-7.566973,10.475912,2.245323,-7.3270483,-2.1516557,7.4972024,-13.544776,6.830573,-8.4500475,0.9341004,-3.5906758,1.1021401,-7.058654,-11.905956,8.96487,15.082823,1.492224,-4.192294,5.327411,-1.8927345,6.2860336,-9.214053,-6.276179,-12.754163,-13.886709,3.4162543,-7.379016,3.2741923,10.57795,-8.3733015,-5.0858216,4.09391,-8.31917,12.0929985,-6.8936605,-3.3564558,6.2963867,10.362864,-0.94812024,-17.630402,4.125836,0.7550887,6.7078457,10.545328,4.969728,1.367811,2.732598,10.724632,3.9765363,3.6967087,17.641294,-2.5979555,10.429374,-14.35493,4.706447,-2.473137,-2.426037,0.3361107,8.784517,2.8222709,-9.764684,-9.134302,5.5960984,0.4551212,-2.9813678,-9.205375,-3.8882265,-21.186478,3.153169,7.9413314,6.8528557,-9.654195,-0.89751786,-0.51058084,0.68876785,-14.589583,-4.6732507,-4.0260377,-3.7143333,2.9913535,6.355341,-1.4407963,2.9501138,-5.2392035,5.360462,-6.7303853,3.166208,9.579853,-9.954431,1.4687308,-8.974954,1.3290241,1.3105543
TCGA-05-5425-01A,-6.781584,4.238635,1.4012308,10.753512,-3.7165275,-8.428238,-2.8815472,-7.0100718,8.368212,-4.974713,8.880039,-10.563683,9.625277,2.212666,1.9023488,4.437826,7.12694,-4.334323,-2.741578,5.407309,2.2790432,6.8683505,-1.9393675,-8.194169,3.406424,6.7449145,-10.928197,5.293867,-0.06766216,4.171919,7.118216,-10.809632,-2.6986442,3.8812256,3.2614322,9.218922,-1.8864273,-11.393696,-0.3166342,-4.691785,-3.0256593,-2.627645,-9.367347,17.220524,10.712128,-3.0470963,3.9982219,-8.709764,4.118868,4.4792595,14.921068,11.06984,-10.215773,-6.073594,2.6545208,7.5524664,-2.911085,2.1161492,-5.2179217,-1.3175719,2.2689486,-9.543102,-4.8535805,8.043349,6.3223596,-1.9560555,-2.5416882,-7.850557,-4.6972494,-2.6969507,-2.2920375,18.243696,6.4409733,7.812264,-9.628024,-0.34650302,19.58569,5.164464,-2.668188,-0.55539376,-2.8610547,2.1929321,-0.41978747,-11.998069,-6.9239483,7.2404103,6.466611,-2.039466,13.77838,4.0509644,-1.2065758,1.6876336,-0.4526386,-12.856649,6.330313,-0.6628875,-16.90939,4.3918357,7.9495993,-5.896626
TCGA-MP-A4T9-01A,-13.049156,-11.820194,-1.8706805,-4.754951,-2.3573525,-3.6233766,1.8945186,-1.884409,9.704632,12.600185,-3.8439999,8.505008,2.723164,-0.913685,-14.892888,-9.703897,-0.44458443,6.305923,-9.495417,-3.7841997,4.9559245,0.7334934,9.73016,16.806568,-3.1293025,-4.402063,4.6871014,-7.488355,5.4081097,8.49184,7.0550056,-7.053041,0.25142178,-4.1537566,0.8634215,-7.1936426,12.558185,-11.341234,-6.592525,-0.72539306,2.9276562,-7.821667,0.53020316,2.156398,9.498886,-1.2900718,-7.4352455,-3.4555252,6.4169593,4.2828846,6.380538,-15.626424,2.172015,-5.099483,-17.26337,2.2819047,2.40157,3.4160948,2.2859507,-8.675392,-1.3501683,3.1532576,-12.42043,7.902632,-0.8393472,-2.5250683,-4.2188015,5.3013425,-11.922165,-9.904471,6.823378,7.3488092,0.13798995,5.451648,-4.2435746,4.7646875,0.60670173,-9.618133,1.2040161,-3.5741808,4.6868796,3.1158986,1.2481099,-4.596376,-6.870885,-13.506428,-12.367692,13.18745,-10.192409,-7.9960775,0.8421758,-1.3432543,4.4348073,-3.6836665,4.6981435,-5.663028,9.351148,5.963177,-1.7855365,-1.8657662
TCGA-78-7166-01A,7.671991,8.121183,10.478461,14.6085005,2.5549684,-0.2075397,1.599489,-1.5090325,-4.329157,3.090446,5.9627223,-1.0263941,17.796106,0.41468957,7.731023,5.135635,0.54959613,-3.5592947,-6.8947506,15.335898,4.7658644,-6.205121,-1.2160865,-10.882307,1.5354481,4.4757032,-3.3446448,3.0951197,4.8804183,5.4492135,12.199554,5.9835005,-2.8128676,-11.392467,-0.65449303,2.2615988,-3.7379432,1.7343912,5.0448046,3.4748614,1.173734,2.8164248,1.4725446,5.397136,0.17760566,-0.68146056,14.543949,-10.177571,-4.748186,1.7150724,14.67961,-3.1167781,9.584657,0.090553716,4.978441,-4.577092,-20.840237,2.929452,-3.6280913,-16.13334,-6.12585,-17.180225,3.2993152,9.353783,7.5754137,-5.6542134,3.634697,1.3344359,0.14488792,0.7656885,-7.4316463,-8.121199,21.193502,4.5540347,1.1849339,-13.949616,11.369602,-9.847444,-4.5962214,0.96248984,3.032673,-6.631386,5.238006,-5.925024,5.4024076,17.054672,2.878722,-6.841131,10.314019,8.257927,5.0268683,-9.446755,-6.423186,-13.471045,5.6847587,7.3061886,-1.3742899,-0.3305662,-7.2190228,2.596641
